num_maquina;num_jobs;modelo;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_linear_nonzeros;status;time;fl_inteiro
3;4;t_pre_carnaval000M003J004_ZintTrue_Manne;48;31;29,000000000000004;29,000000000000004;21;False;0,0;42;132;integer optimal solution;0,007133007049560547;True
3;4;t_pre_carnaval000M003J004_ZintTrue_MinLA;144;31;29,0;29,0;21;False;0,0;34;384;integer optimal solution;0,004517078399658203;True
3;4;t_pre_carnaval000M003J004_ZintFalse_Manne;48;31;;23,0;22;False;;21;132;optimal;0,00035309791564941406;False
3;4;t_pre_carnaval000M003J004_ZintFalse_MinLA;144;31;;24,492644002992268;23;False;;43;384;optimal;0,0005648136138916016;False
3;5;t_pre_carnaval000M003J005_ZintTrue_Manne;75;46;33,0;33,0;29;False;0,0;107;210;integer optimal solution;0,008882999420166016;True
3;5;t_pre_carnaval000M003J005_ZintTrue_MinLA;225;46;33,0;33,0;28;False;0,0;117;615;integer optimal solution;0,008306026458740234;True
3;5;t_pre_carnaval000M003J005_ZintFalse_Manne;75;46;;23,0;33;False;;32;210;optimal;0,00037598609924316406;False
3;5;t_pre_carnaval000M003J005_ZintFalse_MinLA;225;46;;28,558613184079604;37;False;;58;615;optimal;0,0006589889526367188;False
15;15;t_pre_carnaval000M015J015_ZintTrue_Manne;3375;1801;1209,9999898108024;1209,999999998;1009;False;8,419171596078956e-09;11263213;9900;integer optimal, tolerance;237,8185579776764;True
15;15;t_pre_carnaval000M015J015_ZintTrue_MinLA;10125;1801;1209,9999998567037;1210,0;1018;False;1,1842673325001952e-10;6627386;29475;integer optimal, tolerance;299,5030951499939;True
15;15;t_pre_carnaval000M015J015_ZintFalse_Manne;3375;1801;;963,0;1033;False;;1032;9900;optimal;0,018765926361083984;False
15;15;t_pre_carnaval000M015J015_ZintFalse_MinLA;10125;1801;;982,4701986754965;1176;False;;3011;29475;optimal;0,0845339298248291;False
15;15;t_pre_carnaval001M015J015_ZintTrue_Manne;3375;1801;1176,9666666666662;1177,0;995;False;2,8320589068610815e-05;69027037;9900;integer optimal, tolerance;975,8573431968689;True
15;15;t_pre_carnaval001M015J015_ZintTrue_MinLA;10125;1801;1176,8888888888887;1177,0000000000002;988;False;9,440196356119892e-05;107956306;29475;integer optimal, tolerance;3379,1694300174713;True
15;15;t_pre_carnaval001M015J015_ZintFalse_Manne;3375;1801;;942,0;1024;False;;1023;9900;optimal;0,018687009811401367;False
15;15;t_pre_carnaval001M015J015_ZintFalse_MinLA;10125;1801;;945,6247810339937;1179;False;;3300;29475;optimal;0,11204791069030762;False
15;15;t_pre_carnaval002M015J015_ZintTrue_Manne;3375;1801;1196,9024183283839;1196,999999992;1008;False;8,152185765819115e-05;179317681;9900;integer optimal, tolerance;2536,3954668045044;True
15;15;t_pre_carnaval002M015J015_ZintTrue_MinLA;10125;1801;1176,0;1197,0;1014;True;0,017543859649121342;130603281;29475;time limit exceeded;3600,0086121559143;True
15;15;t_pre_carnaval002M015J015_ZintFalse_Manne;3375;1801;;921,0;1146;False;;1145;9900;optimal;0,02163100242614746;False
15;15;t_pre_carnaval002M015J015_ZintFalse_MinLA;10125;1801;;947,8456375838928;1113;False;;2795;29475;optimal;0,09313106536865234;False
15;15;t_pre_carnaval003M015J015_ZintTrue_Manne;3375;1801;1091,1139240506334;1176,0;1007;True;0,07218203737190425;198280016;9900;time limit exceeded;3600,0069391727448;True
15;15;t_pre_carnaval003M015J015_ZintTrue_MinLA;10125;1801;1171,9150943396228;1172,0;1032;False;7,244510271092976e-05;49683427;29475;integer optimal, tolerance;1497,858365058899;True
15;15;t_pre_carnaval003M015J015_ZintFalse_Manne;3375;1801;;911,0;1053;False;;1052;9900;optimal;0,018973827362060547;False
15;15;t_pre_carnaval003M015J015_ZintFalse_MinLA;10125;1801;;911,0;1171;False;;2755;29475;optimal;0,08968806266784668;False
15;15;t_pre_carnaval004M015J015_ZintTrue_Manne;3375;1801;1137,9999999999993;1234,0;1078;True;0,07779578606158258;191075899;9900;time limit exceeded;3600,0068509578705;True
15;15;t_pre_carnaval004M015J015_ZintTrue_MinLA;10125;1801;1135,9999999999998;1243,0;1061;True;0,08608205953338022;100038640;29475;time limit exceeded;3600,0066850185394;True
15;15;t_pre_carnaval004M015J015_ZintFalse_Manne;3375;1801;;940,0;1057;False;;1056;9900;optimal;0,01942300796508789;False
15;15;t_pre_carnaval004M015J015_ZintFalse_MinLA;10125;1801;;975,6942503668223;1186;False;;3024;29475;optimal;0,09718513488769531;False
15;15;t_pre_carnaval005M015J015_ZintTrue_Manne;3375;1801;1161,887752200548;1162,0;1014;False;9,659879470911975e-05;89597757;9900;integer optimal, tolerance;1573,8381741046906;True
15;15;t_pre_carnaval005M015J015_ZintTrue_MinLA;10125;1801;1161,896626768229;1161,999999998;1013;False;8,896147140377973e-05;51797456;29475;integer optimal, tolerance;1675,7246868610382;True
15;15;t_pre_carnaval005M015J015_ZintFalse_Manne;3375;1801;;849,0;1108;False;;1107;9900;optimal;0,02146601676940918;False
15;15;t_pre_carnaval005M015J015_ZintFalse_MinLA;10125;1801;;915,0571519412489;1145;False;;3295;29475;optimal;0,10535907745361328;False
15;15;t_pre_carnaval006M015J015_ZintTrue_Manne;3375;1801;1242,9310344827588;1242,9999999999995;1010;False;5,548311926042425e-05;15336692;9900;integer optimal, tolerance;294,6637501716614;True
15;15;t_pre_carnaval006M015J015_ZintTrue_MinLA;10125;1801;1242,8945147673276;1243,0000000000005;980;False;8,486342129757203e-05;25059139;29475;integer optimal, tolerance;900,1834421157837;True
15;15;t_pre_carnaval006M015J015_ZintFalse_Manne;3375;1801;;935,0;1134;False;;1133;9900;optimal;0,0211029052734375;False
15;15;t_pre_carnaval006M015J015_ZintFalse_MinLA;10125;1801;;979,4327546182903;1125;False;;3140;29475;optimal;0,08669710159301758;False
15;15;t_pre_carnaval007M015J015_ZintTrue_Manne;3375;1801;1181,0;1181,0;1039;False;0,0;1524290;9900;integer optimal solution;52,01118302345276;True
15;15;t_pre_carnaval007M015J015_ZintTrue_MinLA;10125;1801;1181,0;1181,0;1041;False;0,0;2021338;29475;integer optimal solution;124,71026492118835;True
15;15;t_pre_carnaval007M015J015_ZintFalse_Manne;3375;1801;;963,0;967;False;;966;9900;optimal;0,01745295524597168;False
15;15;t_pre_carnaval007M015J015_ZintFalse_MinLA;10125;1801;;963,0;1124;False;;2707;29475;optimal;0,07905197143554688;False
15;15;t_pre_carnaval008M015J015_ZintTrue_Manne;3375;1801;1207,9999999999982;1292,9999998164044;982;True;0,06573859228806571;229526159;9900;time limit exceeded;3600,0079090595245;True
15;15;t_pre_carnaval008M015J015_ZintTrue_MinLA;10125;1801;1182,0000000009288;1292,999999999;994;True;0,08584686774798797;103551568;29475;time limit exceeded;3600,0081930160522;True
15;15;t_pre_carnaval008M015J015_ZintFalse_Manne;3375;1801;;982,0;1085;False;;1084;9900;optimal;0,020041942596435547;False
15;15;t_pre_carnaval008M015J015_ZintFalse_MinLA;10125;1801;;1012,3756895899518;1143;False;;3205;29475;optimal;0,09497880935668945;False
15;15;t_pre_carnaval009M015J015_ZintTrue_Manne;3375;1801;1090,584454410461;1217,0;1025;True;0,10387472932582473;150874644;9900;time limit exceeded;3600,0083191394806;True
15;15;t_pre_carnaval009M015J015_ZintTrue_MinLA;10125;1801;1205,8843711657;1205,9999999999998;1069;False;9,587797205616235e-05;33042727;29475;integer optimal, tolerance;1110,397402048111;True
15;15;t_pre_carnaval009M015J015_ZintFalse_Manne;3375;1801;;896,0;1108;False;;1107;9900;optimal;0,02013111114501953;False
15;15;t_pre_carnaval009M015J015_ZintFalse_MinLA;10125;1801;;988,8829191933202;1158;False;;3202;29475;optimal;0,09513211250305176;False
15;20;t_pre_carnaval000M015J020_ZintTrue_Manne;6000;3151;1137,7806896412644;1382,0;1686;True;0,17671440691658313;116554436;17700;time limit exceeded;3601,1438751220703;True
15;20;t_pre_carnaval000M015J020_ZintTrue_MinLA;18000;3151;1056,3025606266324;1454,999999999;1817;True;0,27401885867533626;32801867;52800;time limit exceeded;3601,1151978969574;True
15;20;t_pre_carnaval000M015J020_ZintFalse_Manne;6000;3151;;949,0;1953;False;;1952;17700;optimal;0,040537118911743164;False
15;20;t_pre_carnaval000M015J020_ZintFalse_MinLA;18000;3151;;992,1796252084565;1967;False;;7992;52800;optimal;0,30008482933044434;False
15;20;t_pre_carnaval001M015J020_ZintTrue_Manne;6000;3151;1102,30555351232;1440,0;1746;True;0,23451003228309475;76296202;17700;time limit exceeded;3600,01100897789;True
15;20;t_pre_carnaval001M015J020_ZintTrue_MinLA;18000;3151;1101,2861982154507;1472,0;1594;True;0,25184361534274735;19459937;52800;time limit exceeded;3601,7357709407806;True
