problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
t_pre_carnaval000M003J004; t_pre_carnaval000M003J004_ZintTrue_Manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 132; integer optimal solution; 0.007133007049560547; False;  
t_pre_carnaval000M003J004; t_pre_carnaval000M003J004_ZintTrue_MinLA; 3; 4; True; 29.0; 29.0; 0.0; 144; 31; 21; 34; 384; integer optimal solution; 0.004517078399658203; False;  
t_pre_carnaval000M003J004; t_pre_carnaval000M003J004_ZintFalse_Manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00035309791564941406; False;  
t_pre_carnaval000M003J004; t_pre_carnaval000M003J004_ZintFalse_MinLA; 3; 4; False; nan; 24.492644002992268; nan; 144; 31; 23; 43; 384; optimal; 0.0005648136138916016; False;  
t_pre_carnaval000M003J005; t_pre_carnaval000M003J005_ZintTrue_Manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 29; 107; 210; integer optimal solution; 0.008882999420166016; False;  
t_pre_carnaval000M003J005; t_pre_carnaval000M003J005_ZintTrue_MinLA; 3; 5; True; 33.0; 33.0; 0.0; 225; 46; 28; 117; 615; integer optimal solution; 0.008306026458740234; False;  
t_pre_carnaval000M003J005; t_pre_carnaval000M003J005_ZintFalse_Manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.00037598609924316406; False;  
t_pre_carnaval000M003J005; t_pre_carnaval000M003J005_ZintFalse_MinLA; 3; 5; False; nan; 28.558613184079604; nan; 225; 46; 37; 58; 615; optimal; 0.0006589889526367188; False;  
t_pre_carnaval000M015J015; t_pre_carnaval000M015J015_ZintTrue_Manne; 15; 15; True; 1209.9999898108024; 1209.999999998; 8.419171596078956e-09; 3375; 1801; 1009; 11263213; 9900; integer optimal, tolerance; 237.8185579776764; False;  
t_pre_carnaval000M015J015; t_pre_carnaval000M015J015_ZintTrue_MinLA; 15; 15; True; 1209.9999998567037; 1210.0; 1.1842673325001952e-10; 10125; 1801; 1018; 6627386; 29475; integer optimal, tolerance; 299.5030951499939; False;  
t_pre_carnaval000M015J015; t_pre_carnaval000M015J015_ZintFalse_Manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.018765926361083984; False;  
t_pre_carnaval000M015J015; t_pre_carnaval000M015J015_ZintFalse_MinLA; 15; 15; False; nan; 982.4701986754965; nan; 10125; 1801; 1176; 3011; 29475; optimal; 0.0845339298248291; False;  
t_pre_carnaval001M015J015; t_pre_carnaval001M015J015_ZintTrue_Manne; 15; 15; True; 1176.9666666666662; 1177.0; 2.8320589068610815e-05; 3375; 1801; 995; 69027037; 9900; integer optimal, tolerance; 975.8573431968689; False;  
t_pre_carnaval001M015J015; t_pre_carnaval001M015J015_ZintTrue_MinLA; 15; 15; True; 1176.8888888888887; 1177.0000000000002; 9.440196356119892e-05; 10125; 1801; 988; 107956306; 29475; integer optimal, tolerance; 3379.1694300174713; False;  
t_pre_carnaval001M015J015; t_pre_carnaval001M015J015_ZintFalse_Manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.018687009811401367; False;  
t_pre_carnaval001M015J015; t_pre_carnaval001M015J015_ZintFalse_MinLA; 15; 15; False; nan; 945.6247810339937; nan; 10125; 1801; 1179; 3300; 29475; optimal; 0.11204791069030762; False;  
t_pre_carnaval002M015J015; t_pre_carnaval002M015J015_ZintTrue_Manne; 15; 15; True; 1196.9024183283839; 1196.999999992; 8.152185765819115e-05; 3375; 1801; 1008; 179317681; 9900; integer optimal, tolerance; 2536.3954668045044; False;  
t_pre_carnaval002M015J015; t_pre_carnaval002M015J015_ZintTrue_MinLA; 15; 15; True; 1176.0; 1197.0; 0.017543859649121342; 10125; 1801; 1014; 130603281; 29475; time limit exceeded; 3600.0086121559143; True;  
t_pre_carnaval002M015J015; t_pre_carnaval002M015J015_ZintFalse_Manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.02163100242614746; False;  
t_pre_carnaval002M015J015; t_pre_carnaval002M015J015_ZintFalse_MinLA; 15; 15; False; nan; 947.8456375838928; nan; 10125; 1801; 1113; 2795; 29475; optimal; 0.09313106536865234; False;  
t_pre_carnaval003M015J015; t_pre_carnaval003M015J015_ZintTrue_Manne; 15; 15; True; 1091.1139240506334; 1176.0; 0.07218203737190425; 3375; 1801; 1007; 198280016; 9900; time limit exceeded; 3600.0069391727448; True;  
t_pre_carnaval003M015J015; t_pre_carnaval003M015J015_ZintTrue_MinLA; 15; 15; True; 1171.9150943396228; 1172.0; 7.244510271092976e-05; 10125; 1801; 1032; 49683427; 29475; integer optimal, tolerance; 1497.858365058899; False;  
t_pre_carnaval003M015J015; t_pre_carnaval003M015J015_ZintFalse_Manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.018973827362060547; False;  
t_pre_carnaval003M015J015; t_pre_carnaval003M015J015_ZintFalse_MinLA; 15; 15; False; nan; 911.0; nan; 10125; 1801; 1171; 2755; 29475; optimal; 0.08968806266784668; False;  
t_pre_carnaval004M015J015; t_pre_carnaval004M015J015_ZintTrue_Manne; 15; 15; True; 1137.9999999999993; 1234.0; 0.07779578606158258; 3375; 1801; 1078; 191075899; 9900; time limit exceeded; 3600.0068509578705; True;  
t_pre_carnaval004M015J015; t_pre_carnaval004M015J015_ZintTrue_MinLA; 15; 15; True; 1135.9999999999998; 1243.0; 0.08608205953338022; 10125; 1801; 1061; 100038640; 29475; time limit exceeded; 3600.0066850185394; True;  
t_pre_carnaval004M015J015; t_pre_carnaval004M015J015_ZintFalse_Manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.01942300796508789; False;  
t_pre_carnaval004M015J015; t_pre_carnaval004M015J015_ZintFalse_MinLA; 15; 15; False; nan; 975.6942503668223; nan; 10125; 1801; 1186; 3024; 29475; optimal; 0.09718513488769531; False;  
t_pre_carnaval005M015J015; t_pre_carnaval005M015J015_ZintTrue_Manne; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 9900; integer optimal, tolerance; 1573.8381741046906; False;  
t_pre_carnaval005M015J015; t_pre_carnaval005M015J015_ZintTrue_MinLA; 15; 15; True; 1161.896626768229; 1161.999999998; 8.896147140377973e-05; 10125; 1801; 1013; 51797456; 29475; integer optimal, tolerance; 1675.7246868610382; False;  
t_pre_carnaval005M015J015; t_pre_carnaval005M015J015_ZintFalse_Manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02146601676940918; False;  
t_pre_carnaval005M015J015; t_pre_carnaval005M015J015_ZintFalse_MinLA; 15; 15; False; nan; 915.0571519412489; nan; 10125; 1801; 1145; 3295; 29475; optimal; 0.10535907745361328; False;  
t_pre_carnaval006M015J015; t_pre_carnaval006M015J015_ZintTrue_Manne; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 9900; integer optimal, tolerance; 294.6637501716614; False;  
t_pre_carnaval006M015J015; t_pre_carnaval006M015J015_ZintTrue_MinLA; 15; 15; True; 1242.8945147673276; 1243.0000000000005; 8.486342129757203e-05; 10125; 1801; 980; 25059139; 29475; integer optimal, tolerance; 900.1834421157837; False;  
t_pre_carnaval006M015J015; t_pre_carnaval006M015J015_ZintFalse_Manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.0211029052734375; False;  
t_pre_carnaval006M015J015; t_pre_carnaval006M015J015_ZintFalse_MinLA; 15; 15; False; nan; 979.4327546182903; nan; 10125; 1801; 1125; 3140; 29475; optimal; 0.08669710159301758; False;  
t_pre_carnaval007M015J015; t_pre_carnaval007M015J015_ZintTrue_Manne; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 9900; integer optimal solution; 52.01118302345276; False;  
t_pre_carnaval007M015J015; t_pre_carnaval007M015J015_ZintTrue_MinLA; 15; 15; True; 1181.0; 1181.0; 0.0; 10125; 1801; 1041; 2021338; 29475; integer optimal solution; 124.71026492118835; False;  
t_pre_carnaval007M015J015; t_pre_carnaval007M015J015_ZintFalse_Manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.01745295524597168; False;  
t_pre_carnaval007M015J015; t_pre_carnaval007M015J015_ZintFalse_MinLA; 15; 15; False; nan; 963.0; nan; 10125; 1801; 1124; 2707; 29475; optimal; 0.07905197143554688; False;  
t_pre_carnaval008M015J015; t_pre_carnaval008M015J015_ZintTrue_Manne; 15; 15; True; 1207.9999999999982; 1292.9999998164044; 0.06573859228806571; 3375; 1801; 982; 229526159; 9900; time limit exceeded; 3600.0079090595245; True;  
t_pre_carnaval008M015J015; t_pre_carnaval008M015J015_ZintTrue_MinLA; 15; 15; True; 1182.0000000009288; 1292.999999999; 0.08584686774798797; 10125; 1801; 994; 103551568; 29475; time limit exceeded; 3600.0081930160522; True;  
t_pre_carnaval008M015J015; t_pre_carnaval008M015J015_ZintFalse_Manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.020041942596435547; False;  
t_pre_carnaval008M015J015; t_pre_carnaval008M015J015_ZintFalse_MinLA; 15; 15; False; nan; 1012.3756895899518; nan; 10125; 1801; 1143; 3205; 29475; optimal; 0.09497880935668945; False;  
t_pre_carnaval009M015J015; t_pre_carnaval009M015J015_ZintTrue_Manne; 15; 15; True; 1090.584454410461; 1217.0; 0.10387472932582473; 3375; 1801; 1025; 150874644; 9900; time limit exceeded; 3600.0083191394806; True;  
t_pre_carnaval009M015J015; t_pre_carnaval009M015J015_ZintTrue_MinLA; 15; 15; True; 1205.8843711657; 1205.9999999999998; 9.587797205616235e-05; 10125; 1801; 1069; 33042727; 29475; integer optimal, tolerance; 1110.397402048111; False;  
t_pre_carnaval009M015J015; t_pre_carnaval009M015J015_ZintFalse_Manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02013111114501953; False;  
t_pre_carnaval009M015J015; t_pre_carnaval009M015J015_ZintFalse_MinLA; 15; 15; False; nan; 988.8829191933202; nan; 10125; 1801; 1158; 3202; 29475; optimal; 0.09513211250305176; False;  
t_pre_carnaval000M015J020; t_pre_carnaval000M015J020_ZintTrue_Manne; 15; 20; True; 1137.7806896412644; 1382.0; 0.17671440691658313; 6000; 3151; 1686; 116554436; 17700; time limit exceeded; 3601.1438751220703; True;  
t_pre_carnaval000M015J020; t_pre_carnaval000M015J020_ZintTrue_MinLA; 15; 20; True; 1056.3025606266324; 1454.999999999; 0.27401885867533626; 18000; 3151; 1817; 32801867; 52800; time limit exceeded; 3601.1151978969574; True;  
t_pre_carnaval000M015J020; t_pre_carnaval000M015J020_ZintFalse_Manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.040537118911743164; False;  
t_pre_carnaval000M015J020; t_pre_carnaval000M015J020_ZintFalse_MinLA; 15; 20; False; nan; 992.1796252084565; nan; 18000; 3151; 1967; 7992; 52800; optimal; 0.30008482933044434; False;  
t_pre_carnaval001M015J020; t_pre_carnaval001M015J020_ZintTrue_Manne; 15; 20; True; 1102.30555351232; 1440.0; 0.23451003228309475; 6000; 3151; 1746; 76296202; 17700; time limit exceeded; 3600.01100897789; True;  
t_pre_carnaval001M015J020; t_pre_carnaval001M015J020_ZintTrue_MinLA; 15; 20; True; 1101.2861982154507; 1472.0; 0.25184361534274735; 18000; 3151; 1594; 19459937; 52800; time limit exceeded; 3601.7357709407806; True;  
t_pre_carnaval001M015J020; t_pre_carnaval001M015J020_ZintFalse_Manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.038693904876708984; False;  
t_pre_carnaval001M015J020; t_pre_carnaval001M015J020_ZintFalse_MinLA; 15; 20; False; nan; 1031.463660862191; nan; 18000; 3151; 2142; 29; 52800; optimal; 0.2965579032897949; False;  
